text,label
"URGENT! Gagnez 1000€ maintenant en cliquant sur ce lien.",1
"Félicitations, vous avez été sélectionné pour un cadeau gratuit.",1
"Bonjour, peux-tu m'envoyer le rapport avant 15h ?",0
"Offre limitée: prêt d'argent immédiat sans justificatif.",1
"Salut, on se voit demain pour le cours ?",0
"Vous avez gagné un iPhone, répondez OUI pour le recevoir.",1
"Réunion déplacée à 10h, merci de confirmer votre présence.",0
"Clique ici pour débloquer ton compte bancaire.",1
"Rappel: ton rendez-vous chez le médecin est demain à 9h.",0
"Gagnez 500.000 Ar par jour avec cette nouvelle méthode miracle.",1

